group_id,record_id,source,expected_resolution,notes
G-001,B-001,bank,matched,Clean exact-match settlement of INV-1001 (Razorpay payout)
G-001,L-001,ledger,matched,Clean exact-match settlement of INV-1001 (Razorpay payout)
G-001,INV-1001,invoice,matched,Clean exact-match settlement of INV-1001 (Razorpay payout)
G-002,B-002,bank,matched,Clean exact-match settlement of INV-1002 (Razorpay payout)
G-002,L-002,ledger,matched,Clean exact-match settlement of INV-1002 (Razorpay payout)
G-002,INV-1002,invoice,matched,Clean exact-match settlement of INV-1002 (Razorpay payout)
G-003,B-003,bank,matched,Clean exact-match settlement of INV-1003 (Razorpay payout)
G-003,L-003,ledger,matched,Clean exact-match settlement of INV-1003 (Razorpay payout)
G-003,INV-1003,invoice,matched,Clean exact-match settlement of INV-1003 (Razorpay payout)
G-004,B-004,bank,matched,Clean exact-match settlement of INV-1004 (Razorpay payout)
G-004,L-004,ledger,matched,Clean exact-match settlement of INV-1004 (Razorpay payout)
G-004,INV-1004,invoice,matched,Clean exact-match settlement of INV-1004 (Razorpay payout)
G-005,B-005,bank,matched,Clean exact-match settlement of INV-1005 (Razorpay payout)
G-005,L-005,ledger,matched,Clean exact-match settlement of INV-1005 (Razorpay payout)
G-005,INV-1005,invoice,matched,Clean exact-match settlement of INV-1005 (Razorpay payout)
G-006,B-006,bank,matched,Clean exact-match settlement of INV-1006 (Razorpay payout)
G-006,L-006,ledger,matched,Clean exact-match settlement of INV-1006 (Razorpay payout)
G-006,INV-1006,invoice,matched,Clean exact-match settlement of INV-1006 (Razorpay payout)
G-007,B-007,bank,matched,Clean exact-match settlement of INV-1007 (Razorpay payout)
G-007,L-007,ledger,matched,Clean exact-match settlement of INV-1007 (Razorpay payout)
G-007,INV-1007,invoice,matched,Clean exact-match settlement of INV-1007 (Razorpay payout)
G-008,B-008,bank,matched,Clean exact-match settlement of INV-1008 (Razorpay payout)
G-008,L-008,ledger,matched,Clean exact-match settlement of INV-1008 (Razorpay payout)
G-008,INV-1008,invoice,matched,Clean exact-match settlement of INV-1008 (Razorpay payout)
G-009,B-009,bank,matched,Credit note adjustment: INV-1009 (₹135707.28) adjusted by CN-5001 (-₹5064.99) settled at ₹130642.29
G-009,L-009,ledger,matched,Credit note adjustment: INV-1009 (₹135707.28) adjusted by CN-5001 (-₹5064.99) settled at ₹130642.29
G-009,INV-1009,invoice,matched,Credit note adjustment: INV-1009 (₹135707.28) adjusted by CN-5001 (-₹5064.99) settled at ₹130642.29
G-009,"INV-1009,CN-5001",invoice,matched,Credit note adjustment: INV-1009 (₹135707.28) adjusted by CN-5001 (-₹5064.99) settled at ₹130642.29
G-010,B-010,bank,matched,Precision paisa round-off: invoice ₹56131.04 vs bank ₹56130.72 (diff: ₹0.32)
G-010,L-010,ledger,matched,Precision paisa round-off: invoice ₹56131.04 vs bank ₹56130.72 (diff: ₹0.32)
G-010,INV-1010,invoice,matched,Precision paisa round-off: invoice ₹56131.04 vs bank ₹56130.72 (diff: ₹0.32)
G-011,B-011,bank,matched,Phantom net-zero reversal: auto-reversed failed UPI payment of ₹3011.05
G-011,B-012,bank,matched,Phantom net-zero reversal: auto-reversed failed UPI payment of ₹3011.05
G-012,B-013,bank,matched,NEFT receipt of INV-1011 booked directly in HDFC / ICICI feed
G-012,L-011,ledger,matched,NEFT receipt of INV-1011 booked directly in HDFC / ICICI feed
G-013,B-014,bank,matched,NEFT receipt of INV-1012 booked directly in HDFC / ICICI feed
G-013,L-012,ledger,matched,NEFT receipt of INV-1012 booked directly in HDFC / ICICI feed
G-014,B-015,bank,matched,NEFT receipt of INV-1013 booked directly in HDFC / ICICI feed
G-014,L-013,ledger,matched,NEFT receipt of INV-1013 booked directly in HDFC / ICICI feed
G-015,B-016,bank,matched,Vendor payment EXP-2001 to Zepto Quick Commerce
G-015,L-014,ledger,matched,Vendor payment EXP-2001 to Zepto Quick Commerce
G-016,B-017,bank,matched,Vendor payment EXP-2002 to Infosys Technologies Ltd
G-016,L-015,ledger,matched,Vendor payment EXP-2002 to Infosys Technologies Ltd
G-017,B-018,bank,matched,"Fuzzy: bank nets a 2.34% MDR/TDS fee, +2/3d lag, reworded descriptions (INV-1014)"
G-017,L-016,ledger,matched,"Fuzzy: bank nets a 2.34% MDR/TDS fee, +2/3d lag, reworded descriptions (INV-1014)"
G-017,INV-1014,invoice,matched,"Fuzzy: bank nets a 2.34% MDR/TDS fee, +2/3d lag, reworded descriptions (INV-1014)"
G-018,B-019,bank,matched,"Fuzzy: bank nets a 1.79% MDR/TDS fee, +2/3d lag, reworded descriptions (INV-1015)"
G-018,L-017,ledger,matched,"Fuzzy: bank nets a 1.79% MDR/TDS fee, +2/3d lag, reworded descriptions (INV-1015)"
G-018,INV-1015,invoice,matched,"Fuzzy: bank nets a 1.79% MDR/TDS fee, +2/3d lag, reworded descriptions (INV-1015)"
G-019,B-020,bank,matched,"Fuzzy: bank nets a 1.85% MDR/TDS fee, +2/3d lag, reworded descriptions (INV-1016)"
G-019,L-018,ledger,matched,"Fuzzy: bank nets a 1.85% MDR/TDS fee, +2/3d lag, reworded descriptions (INV-1016)"
G-019,INV-1016,invoice,matched,"Fuzzy: bank nets a 1.85% MDR/TDS fee, +2/3d lag, reworded descriptions (INV-1016)"
G-020,B-021,bank,matched,"Fuzzy: bank nets a 1.63% MDR/TDS fee, +2/3d lag, reworded descriptions (INV-1017)"
G-020,L-019,ledger,matched,"Fuzzy: bank nets a 1.63% MDR/TDS fee, +2/3d lag, reworded descriptions (INV-1017)"
G-020,INV-1017,invoice,matched,"Fuzzy: bank nets a 1.63% MDR/TDS fee, +2/3d lag, reworded descriptions (INV-1017)"
G-021,B-022,bank,matched,Fuzzy pair: fee-netted bank line for INV-1018
G-021,L-020,ledger,matched,Fuzzy pair: fee-netted bank line for INV-1018
G-022,B-023,bank,matched,Fuzzy pair: fee-netted bank line for INV-1019
G-022,L-021,ledger,matched,Fuzzy pair: fee-netted bank line for INV-1019
G-023,B-024,bank,matched,Ambiguous: bank amount nets 2.36% Razorpay MDR+GST vs INV-1020; needs reasoning
G-023,L-022,ledger,matched,Ambiguous: bank amount nets 2.36% Razorpay MDR+GST vs INV-1020; needs reasoning
G-023,INV-1020,invoice,matched,Ambiguous: bank amount nets 2.36% Razorpay MDR+GST vs INV-1020; needs reasoning
G-024,B-025,bank,matched,"Ambiguous: UPI handle description, missing reference (INV-1021); needs reasoning"
G-024,L-023,ledger,matched,"Ambiguous: UPI handle description, missing reference (INV-1021); needs reasoning"
G-024,INV-1021,invoice,matched,"Ambiguous: UPI handle description, missing reference (INV-1021); needs reasoning"
G-025,B-026,bank,matched,Ambiguous hard case: bank line settles INV-1022 but is indistinguishable from INV-1023
G-025,L-024,ledger,matched,Ambiguous hard case: bank line settles INV-1022 but is indistinguishable from INV-1023
G-025,INV-1022,invoice,matched,Ambiguous hard case: bank line settles INV-1022 but is indistinguishable from INV-1023
G-026,INV-1023,invoice,orphan,"Open invoice INV-1023; twin of INV-1022, settlement not identifiable in batch"
G-027,B-027,bank,orphan,"True orphan: unidentified IMPS transfer, no counterpart"
G-028,L-025,ledger,orphan,Double-posting of L-001; must not be force-matched
